date,geoid,state,cases,cases_avg,cases_avg_per_100k,deaths,deaths_avg,deaths_avg_per_100k
2020-03-10,USA-26,Michigan,2,0.29,0,0,0,0
2020-03-11,USA-26,Michigan,0,0.29,0,0,0,0
2020-03-12,USA-26,Michigan,10,1.71,0.02,0,0,0
2020-03-13,USA-26,Michigan,13,3.57,0.04,0,0,0
2020-03-14,USA-26,Michigan,8,4.71,0.05,0,0,0
2020-03-15,USA-26,Michigan,20,7.57,0.08,0,0,0
2020-03-16,USA-26,Michigan,1,7.71,0.08,0,0,0
2020-03-17,USA-26,Michigan,11,9,0.09,0,0,0
2020-03-18,USA-26,Michigan,15,11.14,0.11,1,0.14,0
2020-03-19,USA-26,Michigan,254,46,0.46,2,0.43,0
2020-03-20,USA-26,Michigan,214,74.71,0.75,1,0.57,0.01
2020-03-21,USA-26,Michigan,239,107.71,1.08,2,0.86,0.01
2020-03-22,USA-26,Michigan,246,140,1.4,3,1.29,0.01
2020-03-23,USA-26,Michigan,291,181.43,1.82,7,2.29,0.02
2020-03-24,USA-26,Michigan,467,246.57,2.47,8,3.43,0.03
2020-03-25,USA-26,Michigan,502,316.14,3.17,19,6,0.06
2020-03-26,USA-26,Michigan,584,363.29,3.64,20,8.57,0.09
2020-03-27,USA-26,Michigan,778,443.86,4.44,30,12.71,0.13
2020-03-28,USA-26,Michigan,979,549.57,5.5,19,15.14,0.15
2020-03-29,USA-26,Michigan,852,636.14,6.37,20,17.57,0.18
2020-03-30,USA-26,Michigan,1022,740.57,7.42,65,25.86,0.26
2020-03-31,USA-26,Michigan,1121,834,8.35,67,34.29,0.34
2020-04-01,USA-26,Michigan,1663,999.86,10.01,72,41.86,0.42
2020-04-02,USA-26,Michigan,1499,1130.57,11.32,81,50.57,0.51
2020-04-03,USA-26,Michigan,1878,1287.71,12.89,61,55,0.55
2020-04-04,USA-26,Michigan,1556,1370.14,13.72,63,61.29,0.61
2020-04-05,USA-26,Michigan,1408,1449.57,14.51,76,69.29,0.69
2020-04-06,USA-26,Michigan,1496,1517.29,15.19,110,75.71,0.76
2020-04-07,USA-26,Michigan,1722,1603.14,16.05,118,83,0.83
2020-04-08,USA-26,Michigan,1369,1561.14,15.63,114,89,0.89
2020-04-09,USA-26,Michigan,1155,1512,15.14,117,94.14,0.94
2020-04-10,USA-26,Michigan,1271,1425.29,14.27,204,114.57,1.15
2020-04-11,USA-26,Michigan,1209,1375.71,13.78,115,122,1.22
2020-04-12,USA-26,Michigan,641,1266.14,12.68,93,124.43,1.25
2020-04-13,USA-26,Michigan,994,1194.43,11.96,115,125.14,1.25
2020-04-14,USA-26,Michigan,1355,1142,11.44,164,131.71,1.32
2020-04-15,USA-26,Michigan,1049,1096.29,10.98,153,137.29,1.37
2020-04-16,USA-26,Michigan,1226,1106.43,11.08,172,145.14,1.45
2020-04-17,USA-26,Michigan,834,1044,10.45,135,135.29,1.35
2020-04-18,USA-26,Michigan,764,980.43,9.82,80,130.29,1.3
2020-04-19,USA-26,Michigan,631,979,9.8,82,128.71,1.29
2020-04-20,USA-26,Michigan,580,919.86,9.21,77,123.29,1.23
2020-04-21,USA-26,Michigan,1007,870.14,8.71,232,133,1.33
2020-04-22,USA-26,Michigan,1037,868.43,8.7,115,127.57,1.28
2020-04-23,USA-26,Michigan,1280,876.14,8.77,164,126.43,1.27
2020-04-24,USA-26,Michigan,1375,953.43,9.55,107,122.43,1.23
2020-04-25,USA-26,Michigan,674,940.57,9.42,189,138,1.38
2020-04-26,USA-26,Michigan,701,950.57,9.52,41,132.14,1.32
2020-04-27,USA-26,Michigan,454,932.57,9.34,92,134.29,1.34
2020-04-28,USA-26,Michigan,1012,933.29,9.35,160,124,1.24
2020-04-29,USA-26,Michigan,974,924.29,9.26,104,122.43,1.23
2020-04-30,USA-26,Michigan,905,870.71,8.72,118,115.86,1.16
2020-05-01,USA-26,Michigan,1000,817.14,8.18,78,111.71,1.12
2020-05-02,USA-26,Michigan,843,841.29,8.42,154,106.71,1.07
2020-05-03,USA-26,Michigan,612,828.57,8.3,29,105,1.05
2020-05-04,USA-26,Michigan,193,791.29,7.92,86,104.14,1.04
2020-05-05,USA-26,Michigan,395,703.14,7.04,44,87.57,0.88
2020-05-06,USA-26,Michigan,688,662.29,6.63,71,82.86,0.83
2020-05-07,USA-26,Michigan,564,613.57,6.14,93,79.29,0.79
2020-05-08,USA-26,Michigan,676,567.29,5.68,50,75.29,0.75
2020-05-09,USA-26,Michigan,416,506.29,5.07,133,72.29,0.72
2020-05-10,USA-26,Michigan,381,473.29,4.74,25,71.71,0.72
2020-05-11,USA-26,Michigan,410,504.29,5.05,33,64.14,0.64
2020-05-12,USA-26,Michigan,420,507.86,5.09,90,70.71,0.71
2020-05-13,USA-26,Michigan,361,461.14,4.62,40,66.29,0.66
2020-05-14,USA-26,Michigan,1182,549.43,5.5,73,63.43,0.64
2020-05-15,USA-26,Michigan,493,523.29,5.24,38,61.71,0.62
2020-05-16,USA-26,Michigan,434,525.86,5.27,55,50.57,0.51
2020-05-17,USA-26,Michigan,638,562.57,5.63,11,48.57,0.49
2020-05-18,USA-26,Michigan,799,618.14,6.19,24,47.29,0.47
2020-05-19,USA-26,Michigan,484,627.29,6.28,102,49,0.49
2020-05-20,USA-26,Michigan,651,668.71,6.7,43,49.43,0.49
2020-05-21,USA-26,Michigan,480,568.43,5.69,69,48.86,0.49
2020-05-22,USA-26,Michigan,397,554.71,5.55,29,47.57,0.48
2020-05-23,USA-26,Michigan,439,555.43,5.56,65,49,0.49
2020-05-24,USA-26,Michigan,312,508.86,5.1,5,48.14,0.48
2020-05-25,USA-26,Michigan,200,423.29,4.24,12,46.43,0.46
2020-05-26,USA-26,Michigan,224,386.14,3.87,26,35.57,0.36
2020-05-27,USA-26,Michigan,504,365.14,3.66,68,39.14,0.39
2020-05-28,USA-26,Michigan,400,353.71,3.54,38,34.71,0.35
2020-05-29,USA-26,Michigan,645,389.14,3.9,34,35.43,0.35
2020-05-30,USA-26,Michigan,259,363.43,3.64,57,34.29,0.34
