COUNTY,Date,CASE_STATUS,Cases,Deaths,Cases.Cumulative,Deaths.Cumulative,Updated
Alcona,5/12/20,Confirmed,0,0,6,1,2020/08/01 12:26:06
Alcona,5/13/20,Confirmed,0,0,6,1,2020/08/01 12:26:06
Alcona,5/14/20,Confirmed,1,0,7,1,2020/08/01 12:26:06
Alcona,5/15/20,Confirmed,1,0,8,1,2020/08/01 12:26:06
Alcona,5/16/20,Confirmed,0,0,8,1,2020/08/01 12:26:06
Alcona,5/17/20,Confirmed,1,0,9,1,2020/08/01 12:26:06
Alcona,5/18/20,Confirmed,2,0,11,1,2020/08/01 12:26:06
Alcona,5/19/20,Confirmed,1,0,12,1,2020/08/01 12:26:06
Alcona,5/20/20,Confirmed,1,0,13,1,2020/08/01 12:26:06
Alcona,5/21/20,Confirmed,0,0,13,1,2020/08/01 12:26:06
Alcona,5/22/20,Confirmed,2,0,15,1,2020/08/01 12:26:06
Alcona,5/23/20,Confirmed,0,0,15,1,2020/08/01 12:26:06
Alcona,5/24/20,Confirmed,1,0,16,1,2020/08/01 12:26:06
Alcona,5/25/20,Confirmed,0,0,16,1,2020/08/01 12:26:06
Alcona,5/26/20,Confirmed,1,0,17,1,2020/08/01 12:26:06
Alcona,5/27/20,Confirmed,1,0,18,1,2020/08/01 12:26:06
Alcona,5/28/20,Confirmed,0,0,18,1,2020/08/01 12:26:06
Alcona,5/29/20,Confirmed,0,0,18,1,2020/08/01 12:26:06
Alcona,5/30/20,Confirmed,0,0,18,1,2020/08/01 12:26:06
Alcona,5/31/20,Confirmed,0,0,18,1,2020/08/01 12:26:06
Alcona,6/1/20,Confirmed,0,0,18,1,2020/08/01 12:26:06
Alcona,6/2/20,Confirmed,0,0,18,1,2020/08/01 12:26:06
Alcona,6/3/20,Confirmed,0,0,18,1,2020/08/01 12:26:06
Alcona,6/4/20,Confirmed,0,0,18,1,2020/08/01 12:26:06
Alcona,6/5/20,Confirmed,0,0,18,1,2020/08/01 12:26:06
Alcona,6/6/20,Confirmed,0,0,18,1,2020/08/01 12:26:06
